"DOI","openalex_id","Year","Authors","Title","Journal","Open Access"
"10.1016/j.biopsych.2015.02.007","https://openalex.org/W2051661459",2015,"Ebony M. Glover; Tanja Jovanovic; Seth D. Norrholm","Estrogen and Extinction of Fear Memories:Implications for Posttraumatic Stress Disorder Treatment","Biological Psychiatry",NA
"10.2174/221067660502150430155038","https://openalex.org/W4246371004",2015,"Basant Pradhan; Richard Gray; Tapan Parikh; Padmalatha Akkireddi; Andres Pumariega","Trauma Interventions using Mindfulness Based Extinction and Reconsolidation (TIMBER<sup>©</sup>) as Monotherapy for Chronic PTSD: A Pilot Study","Adolescent psychiatry",FALSE
"10.1111/famp.12143","https://openalex.org/W1979628401",2015,"Gabriela L. Stein; Linda E. Guzman","Prevention and Intervention Research With Latino Families: A Translational Approach","Family Process",FALSE
"10.1093/jpepsy/jsu108","https://openalex.org/W2137049827",2015,"Erin E. Brannon; Christopher C. Cushing","A Systematic Review: Is There an App for That? Translational Science of Pediatric Behavior Change for Physical Activity and Dietary Interventions","Journal of Pediatric Psychology",TRUE
"10.1037/a0036568","https://openalex.org/W2001913342",2015,"Colleen M. McBride; Wendy C. Birmingham; Anita Y. Kinney","Health psychology and translational genomic research: Bringing innovation to cancer-related behavioral interventions.","American Psychologist",FALSE
"10.1016/j.bbr.2014.07.028","https://openalex.org/W2008083196",2015,"Elizabeth P. Bauer","Serotonin in fear conditioning processes","Behavioural Brain Research",FALSE
"10.1038/npp.2013.317","https://openalex.org/W1994673996",2014,"JoAnn Difede; Judith Cukor; Katarzyna Wyka; Megan Olden; Hunter G. Hoffman; Francis S. Lee; Margaret Altemus","D-Cycloserine Augmentation of Exposure Therapy for Post-Traumatic Stress Disorder: A Pilot Randomized Clinical Trial","Neuropsychopharmacology",TRUE
"10.1002/j.1556-6678.2010.tb00043.x","https://openalex.org/W2041755088",2010,"Lynn D. Miller; Christina Short; E. Jane Garland; Sandra Clark","The ABCs of CBT (Cognitive Behavior Therapy): Evidence-Based Approaches to Child Anxiety in Public School Settings","Journal of Counseling and Development",FALSE
"10.1016/j.janxdis.2010.02.009","https://openalex.org/W1981597802",2010,"Evelyn Behar; R. Kathryn McHugh; Andrew D. Peckham; Michael Otto","d-Cycloserine for the augmentation of an attentional training intervention for trait anxiety","Journal of Anxiety Disorders",FALSE
"10.1007/s10566-010-9094-6","https://openalex.org/W2068927945",2010,"Eric A. Storch; Dean McKay; Jeannette M. Reid; Daniel A. Geller; Wayne K. Goodman; Adam B. Lewin; Tanya K. Murphy","D-Cycloserine Augmentation of Cognitive-Behavioral Therapy: Directions for Pilot Research in Pediatric Obsessive-Compulsive Disorder","Child & youth care forum",FALSE
"10.1097/iyc.0b013e3181d22e14","https://openalex.org/W2033508894",2010,"Michael J. Guralnick","Early Intervention Approaches to Enhance the Peer-Related Social Competence of Young Children With Developmental Delays","Infants and Young Children",NA
"10.1188/14.cjon.s3.38-58","https://openalex.org/W2079657742",2014,"Sandra A. Mitchell; Amy J. Hoffman; Jane C. Clark; Regina M. DeGennaro; Patricia Poirier; Carolene B. Robinson; Breanna L. Weisbrod","Putting Evidence Into Practice: An Update of Evidence-Based Interventions for Cancer-Related Fatigue During and Following Treatment","Clinical Journal of Oncology Nursing",FALSE
"10.1097/nmd.0000000000000188","https://openalex.org/W2333096254",2014,"Dawson Church; David Feinstein; Julie Palmer-Hoffman; Phyllis K. Stein; Anthony Tranguch","Empirically Supported Psychological Treatments","Journal of Nervous and Mental Disease",FALSE
"10.1016/j.brat.2014.07.007","https://openalex.org/W2008475506",2014,"Rebecca J. Park; Lauren R. Godier-McBard; Felicity A. Cowdrey","Hungry for reward: How can neuroscience inform the development of treatment for Anorexia Nervosa?","Behaviour Research and Therapy",FALSE
"10.1037/xge0000016","https://openalex.org/W2315685001",2014,"Carl F. Weems; Justin D. Russell; Donice M. Banks; Rebecca A. Graham; Erin L. Neill; Brandon G. Scott","Memories of traumatic events in childhood fade after experiencing similar less stressful events: Results from two natural experiments.","Journal of experimental psychology",FALSE
"10.1097/hrp.0000000000000034","https://openalex.org/W2323072403",2014,"Randy P. Auerbach; Roee Admon; Diego A. Pizzagalli","Adolescent Depression","Harvard Review of Psychiatry",NA
"10.1177/2167702613497932","https://openalex.org/W2013335489",2014,"Lisa Simon Onken; Kathleen M. Carroll; Varda Shoham; Bruce N. Cuthbert; Melissa Riddle","Reenvisioning Clinical Science","Clinical psychological science",TRUE
"10.1037/a0035892","https://openalex.org/W2331951322",2014,"Lauren D. Asarnow; Adriane M. Soehner; Allison G. Harvey","Basic sleep and circadian science as building blocks for behavioral interventions: A translational approach for mood disorders.","Behavioral Neuroscience",FALSE
"10.1038/npp.2008.113","https://openalex.org/W2088212731",2009,"Daniel S. Pine; Sarah M. Helfinstein; Yair Bar-Haim; Eric E. Nelson; Nathan A. Fox","Challenges in Developing Novel Treatments for Childhood Disorders: Lessons from Research on Anxiety","Neuropsychopharmacology",TRUE
"10.1038/npp.2008.170","https://openalex.org/W2052735846",2009,"Philip S. Wang; Robert K. Heinssen; Molly Oliveri; Ann Wagner; Wayne K. Goodman","Bridging Bench and Practice: Translational Research for Schizophrenia and Other Psychotic Disorders","Neuropsychopharmacology",TRUE
"10.1007/bf03392189","https://openalex.org/W171338788",2009,"William J. McIlvane","Translational behavior analysis: From laboratory science in stimulus control to intervention with persons with neurodevelopmental disabilities","Behavior Analyst",NA
"10.1017/s003329170800398x","https://openalex.org/W2002790322",2009,"Michael Rutter; Robert Plomin","Pathways from science findings to health benefits","Psychological Medicine",FALSE
"10.1002/da.20529","https://openalex.org/W2282853134",2008,"Jürgen Unützer","Evidence-based treatments for anxiety and depression: lost in translation?","Depression and Anxiety",FALSE
"10.1111/j.1467-8721.2008.00617.x","https://openalex.org/W2112921054",2008,"Richard Spoth","Translating Family-Focused Prevention Science Into Effective Practice","Current Directions in Psychological Science",NA
"10.1016/j.biopsych.2008.01.012","https://openalex.org/W2159630298",2008,"Melissa M. Norberg; John H. Krystal; David F. Tolin","A Meta-Analysis of D-Cycloserine and the Facilitation of Fear Extinction and Exposure Therapy","Biological Psychiatry",FALSE
"10.1016/j.cpr.2007.04.001","https://openalex.org/W2062599752",2008,"M. Zachary Rosenthal; Kim L. Gratz; David S. Kosson; Jennifer S. Cheavens; Carl W. Lejuez; Thomas R. Lynch","Borderline personality disorder and emotional responding: A review of the research literature","Clinical Psychology Review",FALSE
"10.1111/ap.12037","https://openalex.org/W1488632761",2014,"Ronald C. Plotnikoff; Philip J. Morgan; David R. Lubans; Ryan E. Rhodes; Sarah A. Costigan","The Intersect of Theory, Methods, and Translation in Guiding Interventions for the Promotion of Physical Activity: A Case Example of a Research Programme","Australian Psychologist",FALSE
"10.1007/s10608-014-9604-1","https://openalex.org/W1964976320",2014,"Elaine Fox; Bundy Mackintosh; Emily A. Holmes","Travellers’ Tales in Cognitive Bias Modification Research: A Commentary on the Special Issue","Cognitive Therapy and Research",FALSE
"10.1017/s095457941300062x","https://openalex.org/W2113875646",2013,"Jillian Lee Wiggins; Christopher S. Monk","A translational neuroscience framework for the development of socioemotional functioning in health and psychopathology","Development and Psychopathology",FALSE
"10.1037/0735-7028.38.3.278","https://openalex.org/W2154003712",2007,"Nadine J. Kaslow; Annie M. Bollini; Benjamin G. Druss; Robert L. Glueckauf; Lewis R. Goldfrank; Kelly J. Kelleher; Annette M. La Greca; R. Enrique Varela; Samuel S.-H. Wang; Linda Weinreb; Lonnie K. Zeltzer","Health care for the whole person: Research update.","Professional Psychology: Research and Practice",FALSE
"10.1017/s0954579406060457","https://openalex.org/W1981311070",2006,"Stephen W. Porges","Asserting the role of biobehavioral sciences in translational research: The behavioral neurobiology revolution","Development and Psychopathology",FALSE
"10.1017/s0954579406060330","https://openalex.org/W2114594413",2006,"Megan R. Gunnar; Philip A. Fisher","Bringing basic research on early experience and stress neurobiology to bear on preventive interventions for neglected and maltreated children","Development and Psychopathology",FALSE
"10.1016/j.brat.2006.06.001","https://openalex.org/W2027706707",2006,"Michael J. Zvolensky; Norman B. Schmidt; Amit Bernstein; Meghan E. Keough","Risk-factor research and prevention programs for anxiety disorders: A translational research framework","Behaviour Research and Therapy",FALSE
"10.1017/s1092852900010439","https://openalex.org/W2137765279",2005,"Charles F. Gillespie; Kerry J. Ressler","Emotional Learning and Glutamate: Translational Perspectives","CNS spectrums",NA
"10.1037/tps0000224","https://openalex.org/W3012376150",2020,"Silvia Chapman; Leigh E. Colvin; Stephanie Cosentino","Translational aspects of the multidisciplinary study of metacognition.","Translational issues in psychological science",TRUE
"10.1037/tps0000218","https://openalex.org/W3012219228",2020,"Jennifer G. Cromley; Andrea J. Kunze","Metacognition in education: Translational research.","Translational issues in psychological science",FALSE
"10.1016/j.copsyc.2018.12.004","https://openalex.org/W2912349592",2019,"Emily K. Lindsay; John David Creswell","Mindfulness, acceptance, and emotion regulation: perspectives from Monitor and Acceptance Theory (MAT)","Current opinion in psychology",TRUE
"10.1016/j.jadohealth.2013.02.015","https://openalex.org/W2010278034",2013,"Sarah Gehlert","Turning Disciplinary Knowledge Into Solutions","Journal of Adolescent Health",TRUE
"10.1016/j.eurpsy.2012.08.002","https://openalex.org/W2140741029",2013,"Paolo Fusar-Poli; Majella Byrne; Steven Badger; Lucia Valmaggia; Philip McGuire","Outreach and support in South London (OASIS), 2001–2011: Ten years of early diagnosis and treatment for young individuals at high clinical risk for psychosis","European Psychiatry",FALSE
"10.1037/a0030582","https://openalex.org/W1989673150",2013,"Robin J. Mermelstein; Tracey A. Revenson","Applying theory across settings, behaviors, and populations: Translational challenges and opportunities.","Health Psychology",NA
"10.1007/s10461-012-0393-9","https://openalex.org/W2045066965",2013,"Jing Gu; Joseph Lau; Huifang Xu; Ying Zhong; Yuantao Hao; Yuteng Zhao; Lirui Fan; Wenhua Ling","A Randomized Controlled Trial to Evaluate the Relative Efficacy of the Addition of a Psycho-Social Intervention to Standard-of-Care Services in Reducing Attrition and Improving Attendance Among First-Time Users of Methadone Maintenance Treatment in China","Aids and Behavior",FALSE
"10.1037/a0029909","https://openalex.org/W2050597029",2013,"Janey C. Peterson; Susan M. Czajkowski; Mary E. Charlson; Alissa R. Link; Martin T. Wells; Alice M. Isen; Carol A. Mancuso; John P. Allegrante; Carla Boutin-Foster; Gbenga Ogedegbe; Jared B. Jobe","Translating basic behavioral and social science research to clinical application: The EVOLVE mixed methods approach.","Journal of Consulting and Clinical Psychology",TRUE
"10.1002/dev.21775","https://openalex.org/W2896650325",2019,"Amanda C. Kentner; John F. Cryan; Susanne Brummelte","Resilience priming: Translational models for understanding resiliency and adaptation to early life adversity","Developmental Psychobiology",TRUE
"10.1111/mbe.12153","https://openalex.org/W2763420277",2017,"K. Brooke Stafford‐Brizard; Pamela Cantor; L. Todd Rose","Building the Bridge Between Science and Practice: Essential Characteristics of a Translational Framework","Mind, Brain, and Education",FALSE
"10.1016/j.nlm.2017.05.008","https://openalex.org/W2613580976",2017,"Claudia Ebrahimi; Stefan Koch; Eva Friedel; Ilsoray Crespo; Thomas Fydrich; Andreas Ströhle; Andreas Heinz; Florian Schlagenhauf","Combining D-cycloserine with appetitive extinction learning modulates amygdala activity during recall","Neurobiology of Learning and Memory",TRUE
"10.1037/a0028813","https://openalex.org/W2123089523",2012,"Michael T. Treadway; Nicholas A. Bossaller; Richard C. Shelton; David H. Zald","Effort-based decision-making in major depressive disorder: A translational model of motivational anhedonia.","Journal of Abnormal Psychology",NA
"10.1037/a0029040","https://openalex.org/W2315147516",2012,"Mikle South; Julie M. Wolf; Lauren Herlihy","Future dimensions: Neuroscience applications to practice in child and adolescent psychology.","Professional Psychology: Research and Practice",FALSE
"10.3109/10253890.2011.644605","https://openalex.org/W2083343893",2012,"Torsten Hero; Friedemann Gerhards; Hanne Thiart; Dirk H. Hellhammer; Michael Linden","Neuropattern: A new translational tool to detect and treat stress pathology. II. The Teltow study","Stress",FALSE
"10.1111/j.1601-183x.2012.00801.x","https://openalex.org/W2073927880",2012,"Raül Andero; Kerry J. Ressler","Fear extinction and BDNF: translating animal models of PTSD to the clinic","Genes, Brain and Behavior",NA
"10.1007/s10608-014-9662-4","https://openalex.org/W1964779971",2015,"Amelia Aldao; Gal Sheppes; James J. Gross","Emotion Regulation Flexibility","Cognitive Therapy and Research",FALSE
"10.1038/npp.2012.268","https://openalex.org/W1991180134",2013,"Megan Riddle; Morgan C. McKenna; Yonejung Yoon; Siobhan S. Pattwell; Patricia Mae G Santos; B. J. Casey; Charles E. Glatt","Caloric Restriction Enhances Fear Extinction Learning in Mice","Neuropsychopharmacology",TRUE
"10.1177/1524839912438749","https://openalex.org/W2112279002",2012,"Alison L. Miller; Allison M. Krusky; Susan P. Franzen; Shirley Cochran; Marc A. Zimmerman","Partnering to Translate Evidence-Based Programs to Community Settings","Health Promotion Practice",FALSE
"10.1136/jme.2009.029785","https://openalex.org/W2107374963",2010,"Alan Cribb","Translational ethics? The theory-practice gap in medical ethics","Journal of Medical Ethics",FALSE
"10.1111/j.1742-9552.2011.00005.x","https://openalex.org/W1499537861",2011,"Simon P. Byrne; Lara J. Farrell; Ronald M. Rapee","Using cognitive enhancers to improve the treatment of anxiety disorders in young people: Examining the potential for D‐cycloserine to augment exposure for child anxiety","Clinical Psychologist",FALSE
"10.1111/j.1468-2850.2011.01261.x","https://openalex.org/W1558060935",2011,"Greg J. Siegle","Beyond depression commentary: Wherefore art thou, depression clinic of tomorrow?","Clinical Psychology-science and Practice",NA
"10.1017/s0033291711000109","https://openalex.org/W2116254635",2011,"Graham Thornicroft; Heidi Lempp; Michele Tansella","The place of implementation science in the translational medicine continuum","Psychological Medicine",TRUE
"10.2174/157340011797183193","https://openalex.org/W2329975296",2011,"Seth D. Norrholm and Tanja Jovanovic","Translational Fear Inhibition Models as Indices of Trauma-related Psychopathology","Current Psychiatry Reviews",FALSE
"10.1037/1528-3542.8.3.307","https://openalex.org/W2168430107",2008,"Golnaz Tabibnia; Matthew D. Lieberman; Michelle G. Craske","The lasting effect of words on feelings: Words may facilitate exposure effects to threatening images.","Emotion",NA
"10.1016/j.brat.2007.06.006","https://openalex.org/W2077257194",2007,"Stefan G. Hofmann","Enhancing exposure-based therapy from a translational research perspective","Behaviour Research and Therapy",NA
"10.3389/fnbeh.2011.00044","https://openalex.org/W2121484097",2011,"Tanja Jovanovic; Seth D. Norrholm","Neural Mechanisms of Impaired Fear Inhibition in Posttraumatic Stress Disorder","Frontiers in Behavioral Neuroscience",TRUE
"10.1007/bf03392233","https://openalex.org/W10784171",2011,"Iser G. DeLeon","The aesthetics of intervention in defense of the esoteric","Behavior Analyst",NA
"10.1002/da.20754","https://openalex.org/W2110224827",2011,"John S. March","Looking to the future of research in pediatric anxiety disorders","Depression and Anxiety",FALSE
"10.1097/yco.0b013e3282f0b8ed","https://openalex.org/W1966491990",2007,"Steffen Moritz; Todd S. Woodward","Metacognitive training in schizophrenia: from basic research to knowledge translation and intervention","Current Opinion in Psychiatry",FALSE
"10.3389/fpsyg.2019.00495","https://openalex.org/W2917557072",2019,"Janina I. Schweiger; Kai G. Kahl; Jan Philipp Klein; Valerija Sipos; Ulrich Schweiger","Innovation in Psychotherapy, Challenges, and Opportunities: An Opinion Paper","Frontiers in Psychology",TRUE
"10.1177/1359104515572379","https://openalex.org/W2302593082",2017,"Kaitlyn Wilson; Melissa Buultjens; Melissa Monfries; Leila Karimi","Equine-Assisted Psychotherapy for adolescents experiencing depression and/or anxiety: A therapist’s perspective","Clinical Child Psychology and Psychiatry",FALSE
"10.1159/000365649","https://openalex.org/W2031067137",2014,"Anne Katrin Külz","Die Funktionsanalyse in der Verhaltenstherapie","Verhaltenstherapie",FALSE
"10.18725/oparu-9704","https://openalex.org/W2886638665",2018,"Patrick Fissler","Healthy cognitive aging through cognitive training, physical exercise, and leisure activities : from theory to new interventions",NA,FALSE
"10.1007/s10567-020-00314-4","https://openalex.org/W3010195895",2020,"Christopher J. Cannon; Bridget A. Makol; Lauren M. Keeley; Noor Qasmieh; Hide Okuno; Sarah J. Racz; Andres De Los Reyes","A Paradigm for Understanding Adolescent Social Anxiety with Unfamiliar Peers: Conceptual Foundations and Directions for Future Research","Clinical Child and Family Psychology Review",FALSE
"10.1016/j.cpr.2017.10.010","https://openalex.org/W2766706430",2018,"Jaclyn S. Weisman; Thomas L. Rodebaugh","Exposure therapy augmentation: A review and extension of techniques informed by an inhibitory learning approach","Clinical Psychology Review",FALSE
"10.1016/j.psc.2017.08.009","https://openalex.org/W2725508837",2017,"Michael P. Twohig; Michael E. Levin","Acceptance and Commitment Therapy as a Treatment for Anxiety and Depression","Psychiatric Clinics of North America",FALSE
"10.1521/ijgp.2015.65.3.332","https://openalex.org/W2150511273",2015,"Russell Hopfenberg","Psychodynamic Group Psychotherapy: A Behavior Science Perspective","International Journal of Group Psychotherapy",FALSE
"10.1016/j.jad.2014.09.058","https://openalex.org/W2006526167",2015,"Raquel Gonçalves; Helga Rodrigues; Felipe Novaes; Javier Rodríguez Árbol; Eliane Volchan; Evandro Silva Freire Coutinho; Ivan Figueira; Paula Ventura","Listening to the heart: A meta-analysis of cognitive behavior therapy impact on the heart rate of patients with anxiety disorders","Journal of Affective Disorders",FALSE
"10.1586/14737175.2014.934677","https://openalex.org/W2145081648",2014,"Joseph F. McGuire; Adam B. Lewin; Eric A. Storch","Enhancing exposure therapy for anxiety disorders, obsessive-compulsive disorder and post-traumatic stress disorder","Expert Review of Neurotherapeutics",TRUE
"10.1016/j.psc.2009.05.001","https://openalex.org/W1981904213",2009,"Joanna J. Arch; Michelle G. Craske","First-line Treatment: A Critical Appraisal of Cognitive Behavioral Therapy Developments and Alternatives","Psychiatric Clinics of North America",FALSE
"10.3389/fpsyg.2020.547852","https://openalex.org/W3084583474",2020,"Doris F. Chang; Nancy Ng; Teddy Chen; Tiffany Hung; Iris Yi Miao; Yuping Cao; Yalin Zhang","Let Nature Take Its Course: Cultural Adaptation and Pilot Test of Taoist Cognitive Therapy for Chinese American Immigrants With Generalized Anxiety Disorder","Frontiers in Psychology",TRUE
"10.1037/int0000239","https://openalex.org/W3039694411",2021,"Ateka A. Contractor; Nicole H. Weiss; M. Tracie Shea","Processing of positive memories technique (PPMT) for posttraumatic stress disorder: A primer.","Journal of Psychotherapy Integration",TRUE
"10.1016/j.cpr.2020.101908","https://openalex.org/W3084039345",2020,"Steven C. Hayes; Stefan G. Hofmann; Joseph Ciarrochi","A process-based approach to psychological diagnosis and treatment:The conceptual and treatment utility of an extended evolutionary meta model","Clinical Psychology Review",FALSE
"10.1007/s10567-019-00310-3","https://openalex.org/W3002608858",2020,"Roz Shafran; Sophie Bennett; Anna E. Coughtrey; Alice Welch; Fahreen Walji; J. Helen Cross; Isobel Heyman; Alice Sibelli; Jessica Smith; Jamie Ross; Emma Dalrymple; Sophia Varadkar; Rona Moss-Morris","Optimising Evidence-Based Psychological Treatment for the Mental Health Needs of Children with Epilepsy: Principles and Methods","Clinical Child and Family Psychology Review",TRUE
"10.1037/ccp0000390","https://openalex.org/W2976431867",2019,"Eric L. Garland; Adam W. Hanley; Michael R. Riquino; Sarah E. Reese; Anne K. Baker; Karen Salas; Brooke P Yack; Carter E Bedford; Myranda A Bryan; Rachel Atchley; Yoshio Nakamura; Brett Froeliger; Matthew O. Howard","Mindfulness-oriented recovery enhancement reduces opioid misuse risk via analgesic and positive psychological mechanisms: A randomized controlled trial.","Journal of Consulting and Clinical Psychology",TRUE
"10.1002/cpp.2340","https://openalex.org/W2897550787",2019,"Pierre Philippot; Martine Bouvard; Céline Baeyens; Vincent Dethier","Case conceptualization from a process‐based and modular perspective: Rationale and application to mood and anxiety disorders","Clinical Psychology & Psychotherapy",FALSE
"10.1101/lm.044156.116","https://openalex.org/W2745368344",2017,"James W. B. Elsey; Merel Kindt","Breaking boundaries: optimizing reconsolidation-based interventions for strong and old memories","Learning & Memory",TRUE
"10.1016/j.cpr.2011.02.003","https://openalex.org/W2028164801",2011,"Michael Treanor","The potential impact of mindfulness on exposure and extinction learning in anxiety disorders","Clinical Psychology Review",FALSE
"10.1016/j.jcbs.2014.09.002","https://openalex.org/W2141219537",2014,"J. E. Yadavaia; Steven C. Hayes; Roger Vilardaga","Using acceptance and commitment therapy to increase self-compassion: A randomized controlled trial","Journal of contextual behavioral science",TRUE
"10.1016/j.brat.2017.06.007","https://openalex.org/W2728164944",2017,"Tomas Formo Langkaas; Asle Hoffart; Tuva Øktedalen; Pål Ulvenes; Elizabeth A. Hembree; Mervin Smucker","Exposure and non-fear emotions: A randomized controlled study of exposure-based and rescripting-based imagery in PTSD treatment","Behaviour Research and Therapy",FALSE
"10.1111/papt.12219","https://openalex.org/W2913930478",2020,"Pauline Maillard; Giancarlo Dimaggio; Laurent Berthoud; Yves de Roten; Jean-Nicolas Despland; Ueli Kramer","Metacognitive improvement and symptom change in a 3‐month treatment for borderline personality disorder","British Journal of Medical Psychology",TRUE
"10.1177/2043808719850733","https://openalex.org/W2952356888",2019,"Anna E. Kunze; Arnoud Arntz; Merel Kindt","Investigating the effects of imagery rescripting on emotional memory: A series of analogue studies","Journal of Experimental Psychopathology",TRUE
"10.1177/02698811211001087","https://openalex.org/W3133301240",2021,"Susann Steudte-Schmiedgen; Emily Fay; Liliana Capitão; Clemens Kirschbaum; Andrea Reinecke","Hydrocortisone as an adjunct to brief cognitive-behavioural therapy for specific fear: Endocrine and cognitive biomarkers as predictors of symptom improvement","Journal of Psychopharmacology",TRUE
"10.1024/1016-264x.14.4.217","https://openalex.org/W2064575923",2003,"Siegfried Gauggel","Grundlagen und Empirie der Neuropsychologischen Therapie: Neuropsychotherapie oder Hirnjogging?","Zeitschrift Fur Neuropsychologie",FALSE
"10.1016/j.jpsychires.2019.09.016","https://openalex.org/W2976391053",2019,"Friederike Raeder; Franziska Heidemann; Manfred Schedlowski; Jürgen Margraf","No pills, more skills: The adverse effect of hormonal contraceptive use on exposure therapy benefit","Journal of Psychiatric Research",FALSE
"10.1097/psy.0b013e31815aa325","https://openalex.org/W2066474382",2008,"Sirko Rabe; Tanja Zoellner; André Beauducel; Andreas Maercker; Anke Karl","Changes in Brain Electrical Activity After Cognitive Behavioral Therapy for Posttraumatic Stress Disorder in Patients Injured in Motor Vehicle Accidents","Psychosomatic Medicine",FALSE
"10.1186/1471-244x-10-99","https://openalex.org/W2069713386",2010,"Tina B. Lonsdorf; Christian Rück; Jan Bergström; Gerhard Andersson; Arne Öhman; Nils Lindefors; Martin Schalling","The COMTval158met polymorphism is associated with symptom relief during exposure-based cognitive-behavioral treatment in panic disorder","BMC Psychiatry",TRUE
"10.1176/appi.ajp.2013.12111484","https://openalex.org/W2129029967",2013,"Ulrike Lueken; Benjamin Straube; Carsten Konrad; Hans-Ulrich Wittchen; Andreas Ströhle; André Wittmann; Bettina Pfleiderer; Christina Uhlmann; Volker Arolt; Andreas Jansen; Tilo Kircher","Neural Substrates of Treatment Response to Cognitive-Behavioral Therapy in Panic Disorder With Agoraphobia","American Journal of Psychiatry",FALSE
"10.1159/000346611","https://openalex.org/W2007042669",2013,"Judith Ruckmann; Winfried Rief","Empathie: neurowissenschaftliche Grundlagen, klinische Implikationen und offene Fragestellungen","Verhaltenstherapie",FALSE
"10.7717/peerj.1934","https://openalex.org/W2335994741",2016,"Philip Lindner; Per Carlbring; Erik Flodman; Amanda Hebert; Stephanie Poysti; Filip Hagkvist; Robert Johansson; Vendela Zetterqvist Westin; Thomas Berger; Gerhard Andersson","Does cognitive flexibility predict treatment gains in Internet-delivered psychological treatment of social anxiety disorder, depression, or tinnitus?","PeerJ",TRUE
"10.21706/aep-15-3-149","https://openalex.org/W3045602678",2020,"Giovanni A. Fava; Jenny Guidi","Das Streben nach Euthymie","Ärztliche Psychotherapie und psychosomatische Medizin",FALSE
"10.1371/journal.pone.0199957","https://openalex.org/W2883689658",2018,"Carolin Eberl; Isabell Winkler; Steffen Pawelczack; Eva Tröbitz; Mike Rinck; Eni S. Becker; Johannes Lindenmeyer","Self-esteem consistency predicts the course of therapy in depressed patients","PLOS ONE",TRUE
"10.1017/s0033291718002106","https://openalex.org/W2888004369",2019,"Tobias Kube; Winfried Rief; Mario Gollwitzer; Thomas Gärtner; Julia Anna Glombiewski","Why dysfunctional expectations in depression persist – Results from two experimental studies investigating cognitive immunization","Psychological Medicine",FALSE
"10.1026/1616-3443.37.4.221","https://openalex.org/W2602934740",2008,"Tanja Michael; Anke Ehlers","Klassische Konditionierung als Erklärungsprinzip für klinisch bedeutsame Ängste","Zeitschrift Fur Klinische Psychologie Und Psychotherapie",FALSE
"10.1038/s41398-019-0455-0","https://openalex.org/W2927322585",2019,"Alexandra H. Brueckner; Johanna Lass-Hennemann; Frank H. Wilhelm; Diana S. Ferreira de Sá; Tanja Michael","Cortisol administration after extinction in a fear-conditioning paradigm with traumatic film clips prevents return of fear","Translational Psychiatry",TRUE
"10.1016/j.psychres.2005.08.022","https://openalex.org/W2092533272",2006,"Udo Dannlowski; Anette Kersting; Judith Lalee-Mentzel; Uta-Susan Donges; Volker Arolt; Thomas Suslow","Subliminal affective priming in clinical depression and comorbid anxiety: A longitudinal investigation","Psychiatry Research-neuroimaging",FALSE
"10.3389/fpsyg.2020.519330","https://openalex.org/W3092832644",2020,"Leonie Anne Kathrin Loeffler; Anna K. Huebben; Sina Radke; Ute Habel; Birgit Derntl","The Association Between Vulnerable/Grandiose Narcissism and Emotion Regulation","Frontiers in Psychology",TRUE
"10.1159/000056635","https://openalex.org/W2051121856",2000,"Frank H. Wilhelm; Richard Gevirtz; Walton T. Roth","Respiratorische Faktoren in der Klinischen Psychophysiologie und dem Biofeedback","Verhaltenstherapie",FALSE
"10.3390/brainsci9080206","https://openalex.org/W2969371494",2019,"Nicola König; Sarah Steber; Josef Seebacher; Quinten von Prittwitz; Harald R. Bliem; Sonja Rossi","How Therapeutic Tapping Can Alter Neural Correlates of Emotional Prosody Processing in Anxiety","Brain Sciences",TRUE
"10.15496/publikation-19644","https://openalex.org/W2809668605",2017,"Saskia Deppermann","Intermittent theta burst stimulation (iTBS) in the treatment of anxiety disorders – From neurobiological underpinnings to clinical applications",NA,FALSE
"10.1111/psyp.13474","https://openalex.org/W2973849372",2020,"Alfons O. Hamm","Fear, anxiety, and their disorders from the perspective of psychophysiology","Psychophysiology",TRUE
"10.1037/emo0000518","https://openalex.org/W2894982417",2019,"Lea K. Hildebrandt; Cade McCall; Tania Singer","Socioaffective versus sociocognitive mental trainings differentially affect emotion regulation strategies.","Emotion",TRUE
"10.17169/refubium-1325","https://openalex.org/W2941872373",2018,"Renata Wacker","Minds meeting through mindreading and mindspeaking: The role of social-cognitive abilities in interpersonal functioning in typically developing adults and adults with pathological fear of social evaluation",NA,FALSE
"10.1002/da.22808","https://openalex.org/W2888661447",2018,"Julia Reichenberger; Jens Blechert","Malaise with praise: A narrative review of 10 years of research on the concept of Fear of Positive Evaluation in social anxiety","Depression and Anxiety",TRUE
"10.1016/j.brat.2017.02.008","https://openalex.org/W2594409476",2017,"Noortje Vriends; Yasemin Meral; Javier A. Bargas-Avila; Christina Stadler; Susan M. Bögels","How do I look? Self-focused attention during a video chat of women with social anxiety (disorder)","Behaviour Research and Therapy",TRUE
"10.1037/tra0001019","https://openalex.org/W3135537753",2021,"Beate Muschalla","Exposure in sensu to a fictive unjust situation and perspective change does not result in reduced embitterment—An experimental study.","Psychological Trauma: Theory, Research, Practice, and Policy",FALSE
"10.1038/npp.2011.159","https://openalex.org/W2062487623",2011,"Michael Browning; Maud Grol; Verena Ly; Guy M. Goodwin; Emily A. Holmes; Catherine J. Harmer","Using an Experimental Medicine Model to Explore Combination Effects of Pharmacological and Cognitive Interventions for Depression and Anxiety","Neuropsychopharmacology",TRUE
